Date Published,News Outlet,Title
2023-11-03T11:01:32Z,USA Today,"Trump, other Republicans call for travel restrictions, sparking new 'Muslim ban' fears"
2023-11-03T20:20:20Z,USA Today,Sadibou Sy not surprised with Sean Strickland's ascent to UFC champion: 'We just help each other grow'
2023-11-03T23:40:08Z,USA Today,Mark Zuckerberg says he tore ACL ‘while training for a competitive MMA fight’
2023-11-03T11:01:32Z,USA Today,"Trump, other Republicans call for travel restrictions, sparking new 'Muslim ban' fears"
2023-11-04T00:30:19Z,USA Today,Jamahal Hill names his top 5 boxers in the UFC
2023-11-04T23:00:16Z,USA Today,Former UFC champ Alex Pereira inducted into Glory Kickboxing Hall of Fame
2023-11-03T20:20:20Z,USA Today,Sadibou Sy not surprised with Sean Strickland's ascent to UFC champion: 'We just help each other grow'
2023-11-03T23:40:08Z,USA Today,Mark Zuckerberg says he tore ACL ‘while training for a competitive MMA fight’
2023-11-04T00:30:19Z,USA Today,Jamahal Hill names his top 5 boxers in the UFC
2023-11-04T23:00:16Z,USA Today,Former UFC champ Alex Pereira inducted into Glory Kickboxing Hall of Fame
2023-11-06T23:10:24Z,USA Today,Israel Adesanya hopes Francis Ngannou returns to MMA next: 'I just want to see him use all f*cking limbs'
2023-11-07T20:40:53Z,USA Today,Chael Sonnen: Alex Pereira would surpass Islam Makhachev as Fighter of the Year with UFC 295 win
2023-11-06T23:10:24Z,USA Today,Israel Adesanya hopes Francis Ngannou returns to MMA next: 'I just want to see him use all f*cking limbs'
2023-11-07T03:00:28Z,USA Today,UFC free fight video: Alex Pereira wins title with TKO over rival Israel Adesanya
2023-11-07T20:40:53Z,USA Today,Chael Sonnen: Alex Pereira would surpass Islam Makhachev as Fighter of the Year with UFC 295 win
2023-11-07T03:00:28Z,USA Today,UFC free fight video: Alex Pereira wins title with TKO over rival Israel Adesanya
2023-11-09T18:30:43Z,USA Today,Robert Whittaker thinks it's fair Dricus Du Plessis got middleweight title shot at UFC 297
2023-11-09T17:00:59Z,USA Today,UFC 295 breakdown: Can Alex Pereira stop Jiri Prochazka to become two-division champ?
2023-11-09T18:30:43Z,USA Today,Robert Whittaker thinks it's fair Dricus Du Plessis got middleweight title shot at UFC 297
