Date Published,News Outlet,Title
2023-11-03T15:36:30Z,Vice News,Hezbollah Leader Signals Willingness to Escalate Conflict With Israel
2023-11-03T15:04:49Z,Vice News,U.S. and Israeli Officials Claim Hamas Was High During Oct. 7 Attack. Is It True?
2023-11-04T19:09:05Z,Fox News,"Obama calls for end of 'occupation,' security for Israel, state for Palestinians"
2023-11-04T18:03:24Z,Fox News,"Rabbis and Christian leaders call for 'National Day of Prayer for Israel' on Monday, Nov. 6"
2023-11-03T15:27:43Z,Fox News,Liberal city council demands Biden push for Israeli ceasefire to end 'current violence' in Gaza
2023-11-03T22:49:26Z,Fox News,"Tlaib accuses Biden of supporting 'genocide' of Palestinians, warns: 'We will remember in 2024'"
2023-11-04T16:48:23Z,Fox News,Hamas trying to sneak injured fighters out among civilian evacuees: US official
2023-11-03T18:35:34Z,Fox News,Enes Kanter Freedom questions Palestinian supporters amid Israeli conflict: 'Your hypocrisy is killing me'
2023-11-03T11:26:51Z,Fox News,Hezbollah claims to strike Israeli army with two suicide drones: report
2023-11-03T08:00:10Z,Fox News,"Navy SEAL veteran, Senate candidate urges Biden to 'stop enabling Iran' as Israel fights for 'survival'"
2023-11-03T15:19:56Z,Fox News,"Hezbollah leader praises 'heroic' Hamas terror attack, threatens to expand fight against Israel"
2023-11-03T18:40:51Z,Fox News,Rocket from Gaza hits near Fox News' Trey Yingst: 'Direct impact'
2023-11-04T21:18:26Z,Fox News,Calls for violence against Jews rock DC amid massive pro-Palestinian protest
2023-11-04T08:00:32Z,Fox News,Child hostages from Israel center of mobile ad war at woke campuses across America
2023-11-03T09:00:36Z,Fox News,Attacks on Israel are only the beginning. All democracies are at risk
2023-11-04T12:00:30Z,Fox News,I’m a college student who escaped Iran. Liberal American colleges promote extremism and censor the truth
2023-11-03T20:39:32Z,Fox News,Rep. Zinke wants Congress to shut down Palestinian immigration: ‘Enough is enough’
2023-11-03T20:35:19Z,Fox News,"Iran, Hamas leaders proclaim their evil plans. Take them at their words"
2023-11-04T01:56:05Z,Fox News,Rashida Tlaib defends phrase antisemitism watchdog defined as ‘code for eradicating’ Israel
2023-11-04T09:02:04Z,Fox News,Average Palestinian in Gaza surviving on only 2 pieces of bread per day: UN human rights official
2023-11-03T08:00:48Z,Fox News,"United Nations allowing Hamas to ‘literally get away with murder,’ expert says"
2023-11-04T08:00:15Z,Fox News,Ritzy New York town rocked by antisemitic graffiti scrawled across businesses
2023-11-04T13:00:20Z,Fox News,'Being a Jew at NYU right now is scary': Students recall fear on campus as antisemitic sentiments rise
2023-11-03T08:00:37Z,Fox News,Elite American universities receiving billions in federal funds see rise in antisemitism: 'Gamed the tax code'
2023-11-03T01:23:49Z,Fox News,"Pro-Palestinian protesters light Israel flag on fire in New York City, trample flyers for Hamas terror victims"
2023-11-03T22:10:57Z,Fox News,Veterans help Americans leaving Gaza: ‘Easier time getting people out of Afghanistan’
2023-11-04T15:30:33Z,Fox News,Dean Phillips says it's been 'difficult' as a Jewish Dem lawmaker amid Israel war: 'Lack of progressive love'
2023-11-03T19:08:59Z,Fox News,Blinken push for humanitarian pauses in Israeli war falls flat with Netanyahu
2023-11-03T08:30:05Z,Fox News,"Seinfeld, Margulies, other industry heavyweights rip Hollywood’s hypocrisy on antisemitism: ‘Failed us deeply’"
2023-11-03T23:49:10Z,Fox News,Israeli father pleads with Americans to help save his wife and three children held hostage in Gaza
2023-11-04T11:00:54Z,Fox News,"Antisemitic TikTok content the latest 'digital fentanyl' from China, Republican lawmaker says"
2023-11-04T11:26:27Z,Fox News,Bill Maher pummels leftwing antisemitism amid Israel-Hamas war: 'You’re the ones with the tiki torches now!'
2023-11-04T00:52:45Z,Fox News,"LAURA INGRAHAM: America doesn't have a real president, it has a figurehead"
2023-11-03T21:00:53Z,Fox News,"Gun purchases by Jewish Americans surging since Oct. 7 Hamas terror attack, says store owner"
2023-11-03T16:09:03Z,Fox News,"Russia backs Hamas terrorists, calls Israel 'occupying power' that 'does not' have right to self-defense"
2023-11-03T12:34:16Z,Fox News,Israeli MMA fighter writes names of Muslim UFC stars on missile
2023-11-04T03:34:43Z,Fox News,"Pro-Palestinian protesters in California block U.S. government ship: 'Joe Biden, you can't hide'"
2023-11-04T11:26:22Z,Fox News,IDF Gaza ground offensive continues as Blinken meets Arab leaders | Live Updates from Fox News Digital
2023-11-04T09:44:20Z,Fox News,Democrat Rep. Ritchie Torres 'mistakenly' voted against resolution condemning Hamas supporters at universities
2023-11-03T22:02:45Z,Fox News,"Protester at NYU pro-Palestinian rally spits on 'Jewish' sign, equates with 'White Supremacy'"
2023-11-03T10:03:12Z,Fox News,Israel encircles Gaza City in fight against Hamas as Blinken pushes for pauses
2023-11-03T11:22:46Z,Fox News,VP Harris blasted for 'tone deaf' post announcing anti-Islamophobia plan amid Israel-Hamas war
2023-11-03T19:11:09Z,Fox News,Jeffries vows Democrats will 'support each other' as groups threaten to primary anti-Israel progressives
2023-11-04T06:01:33Z,Fox News,Ohio Congressman cancels town meeting over threats against Jewish people
2023-11-03T23:13:58Z,Fox News,Democrats confronted over 'no' votes on House resolution condemning antisemitism: It 'contains lies'
2023-11-03T01:02:45Z,Fox News,Major law firms warn universities they won't hire students engaging in antisemitism
2023-11-03T12:40:25Z,Fox News,Former Playboy White House reporter says 'MAGA and Christian nationalism' are 'bigger threat' to US than Hamas
2023-11-03T12:00:10Z,Fox News,Speaker Johnson must return People’s House to needs of the people
2023-11-03T10:19:42Z,Fox News,"Verdict reached in FTX founder's trial, House passes Israel funding bill and more top headlines"
2023-11-03T17:42:29Z,Fox News,Jordanian national living illegally in Texas accused of 'studying how to build bombs' to target Jews: reports
2023-11-03T01:56:54Z,Fox News,"ICE arrests African illegal immigrant, wanted in Senegal for terrorist offenses, who was released into US"
2023-11-04T19:27:05Z,Fox News,"NJ school janitor performed sickening sex acts with cafeteria utensils, poured bleach on students' food: cops"
2023-11-03T21:26:21Z,Fox News,What the FBI seized from the home of New York City Mayor Eric Adams' top fundraiser
2023-11-03T03:35:45Z,Fox News,"Cornell University cancels classes Friday amid 'extraordinary stress,' following antisemitic threats"
2023-11-03T09:00:08Z,Fox News,Why does US economically help nations that want to harm the West?
2023-11-03T14:06:28Z,Fox News,"The scary side of the Biden administration, AOC the Hamburglar, and more from Fox News Opinion"
2023-11-03T15:15:34Z,Fox News,Bowman snaps at reporter for calling out inconsistent fire alarm story: ‘I was straight from the beginning’
2023-11-04T16:43:45Z,Fox News,'Default progressivism and D.E.I. loyalty oaths' creating problems for higher education warns NY Times column
2023-11-04T10:00:21Z,Fox News,"Pakistan launches crackdown on illegal immigration, echoing US debate amid terror concerns"
2023-11-04T23:00:30Z,Fox News,"Biden, far left weaponize race and immigration as long-term power play: Tim Scott"
2023-11-05T12:30:14Z,Fox News,'I pray with them': Pro-Palestinian college activists share message for families of kidnapped Israelis
2023-11-05T00:00:13Z,Fox News,New York Times writer resigns over letter accusing Israel of 'genocide'
2023-11-04T19:09:05Z,Fox News,"Obama calls for end of 'occupation,' security for Israel, state for Palestinians"
2023-11-05T13:00:03Z,Fox News,Israeli tour guide concerned by pro-Palestinian protests in the US: 'Go really learn'
2023-11-04T18:03:24Z,Fox News,"Rabbis and Christian leaders call for 'National Day of Prayer for Israel' on Monday, Nov. 6"
2023-11-04T16:48:23Z,Fox News,Hamas trying to sneak injured fighters out among civilian evacuees: US official
2023-11-05T09:00:47Z,Fox News,Antisemitic protests across US bear striking resemblance to other social justice movements: experts
2023-11-05T01:26:46Z,Fox News,Pro-Palestinian protests turn violent across Europe
2023-11-05T16:38:25Z,Fox News,"Barack Obama argues 'all of us are complicit' in Israel-Hamas conflict, urges acknowledgement of whole truth"
2023-11-05T17:39:57Z,Fox News,Foreign survivors of brutal Hamas attack on Israel recall terror massacre : 'Everything was burning'
2023-11-04T21:18:26Z,Fox News,Calls for violence against Jews rock DC amid massive pro-Palestinian protest
2023-11-04T08:00:32Z,Fox News,Child hostages from Israel center of mobile ad war at woke campuses across America
2023-11-04T12:00:30Z,Fox News,I’m a college student who escaped Iran. Liberal American colleges promote extremism and censor the truth
2023-11-04T01:56:05Z,Fox News,Rashida Tlaib defends phrase antisemitism watchdog defined as ‘code for eradicating’ Israel
2023-11-04T09:02:04Z,Fox News,Average Palestinian in Gaza surviving on only 2 pieces of bread per day: UN human rights official
2023-11-05T17:06:32Z,Fox News,Bernie Sanders refuses to condemn Tlaib comments deemed 'antisemitic'
2023-11-04T08:00:15Z,Fox News,Ritzy New York town rocked by antisemitic graffiti scrawled across businesses
2023-11-04T13:00:20Z,Fox News,'Being a Jew at NYU right now is scary': Students recall fear on campus as antisemitic sentiments rise
2023-11-05T05:19:23Z,Fox News,"Rep. Bowman says there must be 'clear distinction' between Israel's citizens, government"
2023-11-05T10:27:19Z,Fox News,Ilhan Omar criticizes US policy toward Israeli PM Netanyahu: 'Doesn’t add up'
2023-11-05T02:04:28Z,Fox News,Dem Michigan AG calls out Tlaib for 'cruel' and hateful' Israel comments
2023-11-05T15:39:01Z,Fox News,GWU student urged to leave Jewish star at home as antisemitic violence surges: 'This is the reality' we face
2023-11-05T15:18:59Z,Fox News,Woman identified as State Department employee accuses Biden admin of being 'complicit' in Israel 'genocide'
2023-11-04T15:30:33Z,Fox News,Dean Phillips says it's been 'difficult' as a Jewish Dem lawmaker amid Israel war: 'Lack of progressive love'
2023-11-05T17:18:08Z,Fox News,"Just 1 arrest after pro-Palestinian DC protest spurs acts of vandalism, bid to scale White House fence"
